Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(12)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(6)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(10)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(6)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(13)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(3)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(-11)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(11)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(13)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(9)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(-1)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(3)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(10)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(13)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(11)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(6)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(0)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(14)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(1)),
Add(A(X),V(10)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(10)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(-5)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(12)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(-16)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(10)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(-7)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(11)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
Inp(W),
Mul(A(X),V(0)),
Add(A(X),A(Z)),
Mod(A(X),V(26)),
Div(A(Z),V(26)),
Add(A(X),V(-11)),
Eql(A(X),A(W)),
Eql(A(X),V(0)),
Mul(A(y),V(0)),
Add(A(y),V(25)),
Mul(A(y),A(X)),
Add(A(y),V(1)),
Mul(A(Z),A(y)),
Mul(A(y),V(0)),
Add(A(y),A(W)),
Add(A(y),V(15)),
Mul(A(y),A(X)),
Add(A(Z),A(y)),
